               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04223,             0.01301,                   0,             0.64294,               0.673,             0.62714,             0.31958,            0.047471,            0.067705,                   0,             0.07012,             0.00332,             0.00332
                   1,            0.030347,           0.0085859,                   0,             0.91993,             0.80425,             0.85786,             0.61233,            0.036277,           0.0090787,                   0,            0.039461,           0.0059947,           0.0059947
                   2,            0.026965,           0.0074904,                   0,             0.98841,                0.91,             0.94785,             0.66286,            0.026373,           0.0048389,                   0,           0.0081426,           0.0080093,           0.0080093
                   3,            0.022055,           0.0062226,                   0,             0.98046,               0.932,             0.95988,             0.77401,            0.020365,           0.0040121,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.018448,           0.0053268,                   0,             0.98679,                0.93,             0.96147,             0.83561,            0.017124,           0.0027254,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.016256,            0.004865,                   0,             0.98754,             0.95086,             0.96978,              0.8315,            0.017572,            0.002574,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.014291,           0.0043427,                   0,              0.9883,               0.944,             0.97159,             0.87869,            0.014974,           0.0022938,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.012483,           0.0039209,                   0,             0.99167,               0.958,             0.97479,             0.89199,            0.012338,           0.0019642,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.011774,           0.0036361,                   0,             0.99586,             0.96189,             0.97783,             0.91645,            0.010882,           0.0017508,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.010061,           0.0032539,                   0,             0.99563,               0.966,             0.97925,             0.93708,           0.0096807,           0.0016238,                   0,             0.00208,             0.00208,             0.00208
