               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038379,            0.011734,                   0,             0.16609,            0.022022,            0.017317,            0.011065,            0.087533,              0.1157,                   0,            0.070096,           0.0033226,           0.0033226
                   1,            0.027165,           0.0077135,                   0,             0.93738,             0.93594,             0.95157,             0.68063,            0.023836,            0.010977,                   0,            0.039437,            0.005997,            0.005997
                   2,            0.021987,           0.0066131,                   0,               0.918,             0.95495,             0.95749,             0.70856,            0.018805,            0.007363,                   0,           0.0081183,           0.0080114,           0.0080114
                   3,            0.018046,           0.0059369,                   0,             0.96246,             0.95596,             0.97928,             0.82496,            0.013619,           0.0048667,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.015427,           0.0051777,                   0,             0.98681,             0.98398,             0.99375,             0.88478,            0.011495,           0.0040369,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.014166,           0.0048485,                   0,             0.98665,             0.98098,             0.99315,              0.8962,            0.011043,           0.0043949,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.012208,           0.0043862,                   0,             0.98884,              0.9752,             0.98916,             0.90252,           0.0093761,            0.004161,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.010508,           0.0039125,                   0,             0.98995,             0.98597,             0.99426,             0.94691,           0.0077012,           0.0039351,                   0,             0.00406,             0.00406,             0.00406
                   8,           0.0093629,           0.0036026,                   0,             0.99096,             0.98749,             0.99418,             0.96219,           0.0060095,           0.0036678,                   0,             0.00307,             0.00307,             0.00307
                   9,           0.0081268,           0.0034234,                   0,             0.99495,             0.98556,             0.99443,             0.96481,           0.0057546,           0.0035588,                   0,             0.00208,             0.00208,             0.00208
