               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038821,            0.011692,                   0,             0.90367,             0.85614,             0.93317,             0.51642,            0.034942,            0.024607,                   0,            0.070096,           0.0033226,           0.0033226
                   1,            0.026934,           0.0076353,                   0,             0.48218,             0.93806,             0.54831,             0.41036,            0.024013,            0.020298,                   0,            0.039437,            0.005997,            0.005997
                   2,            0.022775,           0.0066387,                   0,             0.96406,             0.96463,             0.98436,             0.75205,            0.022341,           0.0057353,                   0,           0.0081183,           0.0080114,           0.0080114
                   3,            0.018839,           0.0059909,                   0,             0.96439,             0.94681,             0.97071,             0.82462,            0.013863,           0.0055535,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.015885,           0.0052513,                   0,             0.99162,             0.98202,             0.99391,             0.87319,            0.011058,             0.00402,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.013104,           0.0045804,                   0,             0.98901,             0.97003,             0.99032,             0.87932,           0.0096314,           0.0041469,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.011929,           0.0042572,                   0,             0.99596,             0.98611,             0.99323,             0.92734,           0.0093335,           0.0041876,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.010824,           0.0038705,                   0,             0.99596,             0.98398,             0.99483,              0.9357,           0.0080799,           0.0036527,                   0,             0.00406,             0.00406,             0.00406
                   8,           0.0094102,           0.0036151,                   0,             0.99397,             0.98823,             0.99481,             0.96511,           0.0062828,            0.003731,                   0,             0.00307,             0.00307,             0.00307
                   9,           0.0081975,           0.0033189,                   0,             0.99798,             0.98868,             0.99483,             0.97613,             0.00509,            0.003325,                   0,             0.00208,             0.00208,             0.00208
